FUNCION|FECHA_PROCESO|DESDE_HASTA|ALTAS|BAJAS|MODIF|ADHER|LINEAS
TADI|2024-05-29 14:24:00|05/14-05/14|14|0|0|10|24
TADI|2024-06-06 01:26:29|05/14-05/14|14|0|0|10|24
TADI|2024-06-06 01:31:16|05/14-05/14|14|0|0|10|24
TADI|2024-06-06 02:39:27|05/14-05/14|14|0|0|10|24
TADI|2024-06-06 02:39:32|05/14-05/14|14|0|0|10|24
TADI|2024-06-06 02:40:33|05/14-05/14|14|0|0|10|24
TADI|2024-06-06 02:40:42|05/14-05/14|14|0|0|10|24
TADI|2024-06-06 02:44:32|05/14-05/14|14|0|0|10|24
TADI|2024-06-06 02:44:59|05/14-05/14|14|0|0|10|24
TADI|2024-06-06 02:45:59|05/14-05/14|14|0|0|10|24
TADI|2024-06-06 02:46:25|05/14-05/14|14|0|0|10|24
TADI|2024-06-09 02:05:40|05/14-05/14|14|0|0|10|24
